Year,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10
1950,1.3084706173840994,-0.4360487499907646,0.06247893000339738,0.27124596824468505,-0.02749037787624111,-0.00583675120644012,-0.011028586553383405,-0.002604085586834952,-0.0028347244025703254,0.0005794568156754915
1951,0.12271600052597209,0.021356081513820308,-0.11224280975152798,-0.09801560985862284,-0.01964892870056845,0.03866621572917184,0.0004903104118897221,0.0035216500497469634,0.01650882496450217,0.0015134827464228337
1952,0.23658450009836723,-0.03612942774057802,-0.055872347417420615,0.06221482924967217,-0.08410987478752674,-0.008501292832675927,-0.0011026789465828821,-0.006206109837627918,-0.009309281082634329,-0.002565726340372051
1953,0.3766234240728037,-0.24805555274966734,-0.24014046050247567,0.0595446879875729,0.08342730317574953,-0.017508756287139687,-0.007832323149150569,0.01971679027137271,-0.0072477921607084685,-0.003800865461339054
1954,0.8122432410879856,0.3758324231333718,-0.2957875833085218,0.084867083691478,-0.05708645470167791,0.0433336083998922,-0.005982738969118898,0.0041886032173506105,0.005868307264585724,0.00521505298209368
1955,0.9851284787265073,-0.025646936917512575,-0.04768761126056595,0.3173588920827633,0.05046793695904327,-0.03394514872870358,-0.0020301489447481762,0.007610026229188872,0.006962407154960025,0.0053717287211403515
1956,0.927870569611057,-0.20616862148028,-0.033244136833233184,-0.07191245245525282,-0.08397272610847181,-0.06184872892921922,0.004280083432409688,-0.0017419435452241299,0.007132382197991798,0.005702237211840841
1957,0.7705100104798898,0.12481825847714559,0.11094635442072065,-0.030850868867090084,-0.11485630335217763,0.048896682137031924,-0.014708975851188107,-0.010661435471014627,1.8048163194096854e-05,0.0013588722378532858
1958,1.1578236508301665,0.5119129759130596,0.26115485639753605,-0.005870932816045952,0.051307978112638084,0.015899655079921648,0.0025572112943636582,-0.006205801665923159,-0.002633932113449766,0.0032893368936332368
1959,0.5546395373992182,0.022205542393463923,-0.11844987841390366,-0.014123394035271047,0.030017065879061493,-0.024088973721630644,-0.002188573571473465,-0.004283745677119442,0.0007469780065273244,-0.014187870346410465
1960,0.12595584109661828,-0.015420584542257742,0.10559429344758253,0.03984619003562247,-0.040326459403505766,-0.04863260420214086,0.0031073185355711165,-0.002131990597486347,-0.002484811413561979,0.018184396268771708
1961,0.32699261020091847,0.10256605884626718,-0.18426283824946835,0.020210689253001922,0.029649047753076425,-0.08575371912492127,-0.013742153482100271,-0.0013063270703035856,0.005772876818253506,0.003389901546989981
1962,0.23867208364564169,-0.032542776036480384,-0.11903219186902722,0.12844358435646966,-0.01671118517967202,0.05621698251528119,-0.012263883584711713,-0.002731046352106437,-0.00421641005870485,-0.0043174344219635945
1963,-1.2276461556683222,0.24989472578830518,0.08126377696732551,0.019539014334302773,-0.1311700604452578,-0.022595297715638764,-0.022365504076834963,0.005533218595760737,0.004435603393817665,0.005722468560017796
1964,1.4454224789646495,-0.3988469919324657,0.3142128644847118,0.056453888110099604,-0.17531879039873433,0.10813833036774678,0.008083120192056814,-0.006585785157304533,-0.012342058495796886,0.005292522320480449
1965,0.6529232835343359,0.054672425451733814,-0.226604902006256,-0.1228661223093834,-0.0036324286167183275,-0.046431724127735975,-0.019498530709610946,0.00012253051644263674,-0.000773875551184321,-0.002924152777981895
1966,-0.3044676228350258,0.35372894799356347,0.4443627800787838,-0.018823655432885583,0.007507131615570147,-0.100358853765386,0.02090630788215758,0.005830716259445369,-0.0033232558864153493,0.00270157089898137
1967,1.1107789539554158,0.33368652164800094,0.05872965387150941,-0.18801912910053586,-0.19355326779643817,-0.06300999318243816,-0.022398213836255978,0.004020215790353837,0.0046330017939896105,-0.0073858782921946056
1968,-0.8025083177762109,0.24445787501478022,-0.055817024932182574,0.08143003898191337,0.01765935723750638,-0.017166271311227346,0.01913389011105382,0.015346076524296611,0.029505942564861554,0.0027292531674564754
1969,0.3234912587088111,-0.04446637091130483,-0.10330241500125803,0.036455566649351956,-0.0761587899320661,0.07209610312736087,-0.006015401481140783,0.004899397725623145,-0.007595573088601507,-0.007520340644759973
1970,0.7114197236799907,-0.09326462833157825,0.0927187405022423,0.08766760974724537,-0.0780206516909859,-0.11583521092224908,0.002450988693415943,0.001826438186184703,0.0083598462922603,-0.00014083466585660667
1971,1.1236034153122834,-0.4839784237937499,-0.1590993387917481,-0.10475446420038137,0.07379808691366563,-0.03378009442951122,-0.010089866988238766,-0.005666937401267845,0.003535816867809012,0.0003230283660675924
1972,-0.8949941898736462,0.4571452141267759,0.211973281258836,-0.14616910815253448,-0.06367152678834048,0.004136930921843092,-0.0077284170062995,0.002847997594889165,0.0016704757186649121,3.7527291534757146e-05
1973,-1.3636687541985157,-0.2603810856570382,-0.18735444963086464,-0.0054374152252047725,0.06274586333863981,-0.11556080716902456,0.012994715496700815,0.005411825905912722,-0.012632129132739728,0.005281364924650503
1974,-0.5523662467333353,-0.3458936136149692,0.22917861192632474,0.0908826487658769,-0.08995166826680755,0.012408252014852947,-0.00934699606345157,0.0030842851048969513,0.003458203794562561,-0.007209829652216896
1975,0.4217417944225182,-0.19063926846715418,0.06473293582573217,0.21157463246122338,-0.09930466691813919,0.05318774681649119,0.005372573654058664,0.02546914945114456,-0.014948948911705983,-0.008813551934329776
1976,1.0976554206916458,0.34082927403927676,-0.13165300906363242,-0.13947602231975345,0.013666734539965477,0.004028752508217221,-0.007638986078824423,-0.004325873710368012,0.0006088366985468767,0.0010540844125194434
1977,0.23884579358235367,0.0030800851665329504,-0.09341400669876967,-0.07430339661221697,-0.08544979460549293,-0.017348666278983585,-0.00802334577301464,-0.009268346554281635,0.0046451360345991285,0.005701468462518965
1978,0.7472720863473093,-0.04601445413208169,0.26424125882680355,-0.1068258651182751,0.035245882634041284,0.029970872334064785,0.016141618224358042,0.00488902181425707,0.013550425366073173,-0.004457347367737044
1979,-0.20979950838913788,-0.2197960967227515,-0.11710669967012856,-0.09705313227056597,-0.11387645489566961,-0.06761290055408442,-0.0008533941336111222,-0.018547596716070477,-0.0008429599700937159,0.011323337160344955
1980,0.44742417783797905,-0.4457940236500142,-0.31261524868191315,0.02806042580575835,0.024673729450796874,-0.03457565994660007,0.011703983918730228,-0.01027390038304355,-0.009974978568307057,-0.0011697685297322354
1981,-0.2363744413544366,0.20855946000687067,-0.396273176190179,0.047669323449003834,-0.058212341050235615,0.09255149206120862,0.050088125452420314,-0.007223941096031561,-8.332447026948654e-05,-0.0021356792859541906
1982,0.8439785776740867,0.3466145462845317,-0.10300789688938955,0.07301954711613534,0.2084932798162963,-0.025993843327131186,0.0020452056971178864,0.0049886326352909524,0.01132312659379058,-0.004093404007604353
1983,0.0694896260679447,0.4702828157291479,-0.02583733172154093,-0.19135318237804128,-0.1364574934395998,-0.04368787723493295,0.01861784065620221,0.004382465526571239,-0.013307453680400363,0.012387151965357389
1984,-1.2219515744336824,-0.4613185553861502,-0.3150524670491896,-0.22922806994727252,-0.027563045667847105,-0.04323579695480646,0.0005525612242694342,0.0013873317008161786,0.007759011372421304,-0.011432895649977091
1985,-0.4046257225458332,0.10128790590958259,0.11277484643609184,0.11175359634819426,0.09128140373758084,0.059263468210100693,0.004842179978942159,0.0023386681892228712,-0.007818118575079176,0.007426497295560101
1986,-0.16748332038919242,-0.251957111497417,-0.09471712495281283,-0.2357288266571766,0.10059037464899596,-0.04148833585335179,-0.004137022717728325,0.02223683328515519,-0.0032237228220840615,0.01220389109184205
1987,-1.0083105569509263,-0.030694177799637318,0.03140617674514372,0.1968249369797304,-0.10112737643963314,-0.0021628822168694483,-0.004788096042879697,-0.008857272233743592,-0.00010784358127696573,-0.008233236472476861
1988,-0.6912434195581462,-0.30440083856117484,-0.0016134478038258154,-0.0863449393892007,0.04061172709439033,0.11176357317836323,-0.0007283238206554654,0.0030576394895612414,0.005210080116232857,0.001963499242397593
1989,-0.21728433134600944,-0.48751601027865477,-0.19711183467600774,-0.018347189484367116,0.055963876514489204,0.1383445351763052,0.005970781300937797,0.019590693189947512,0.00657876180702057,0.008420767522302955
1990,0.001209893597815176,0.33729727517157365,-0.010332575201720318,0.09162158780197815,0.013403148310384368,0.0124205612460649,0.0016191996986895257,0.00831981249327173,-0.011859668126268237,-0.007119051720690601
1991,0.6656339471459638,0.021833610467811168,0.3673648203249264,-0.007211556322255855,0.12079020302046828,-0.06882669222972812,0.008862228199994347,0.01315740332954863,-0.011469969146159036,-0.011048479218744502
1992,1.51063042229777,0.2207011337706839,0.0808024636475694,-0.17880675701227325,0.18539770079211387,0.023503699536494366,0.022668784399395337,-0.0049774622696590895,-0.0027333681716404878,-0.008581605476792506
1993,-0.9377190762428546,0.4739526110700701,-0.37767777262528335,0.2585938530197469,0.06961381132991569,-0.09399672279135508,-0.01113372624949266,-0.0015379673457767854,-0.002567640805037923,0.004639614900575623
1994,0.21683871775432167,0.3988282514283312,0.008112810167943449,0.024405431488985593,-0.06520085835942747,0.025411091799740382,0.005469630156224143,-0.00815812827135733,-0.001949269345486436,0.003150052063550664
1995,-0.03554435439324499,-0.10364482578899889,0.23264816290168586,0.19108817260253658,0.05462221277075729,-0.13971593234062132,0.001007756623154246,0.003562967013528371,0.003139638923168151,0.0023874358589957233
1996,-0.42734770089777324,-0.502750864315298,0.22087067331270208,0.11831094280424337,0.03413203350680141,-0.016123998250650518,0.0039404515611994,-0.017978455197188804,0.009027295431122165,0.0011841438353594894
1997,-0.9265086892392551,1.0978889156193057,-0.23759756537257182,0.11466084586495368,0.0398614677431629,0.0619251119448256,0.0017314547536779715,-0.011055449812280543,-0.005738902599383204,0.0037583183687374157
1998,-0.897490892421204,-0.5816814278662922,0.2007245943292333,0.0551542222386405,-0.06844175879364274,-0.0990729546404608,-0.0010500866687584958,0.0031519927561484114,0.006854273859973588,-0.008511426334160266
1999,-0.8793662894416112,-0.252214992370562,0.23009540010939153,-0.000524965730726884,-0.06334772152687537,0.07175975462627461,-0.006721014886091628,-0.008539554310051158,0.008707245130654136,0.002931444271457408
2000,-0.11718641864969954,-0.13417622538886778,0.006262452577363929,0.04276084026910294,-0.04043788568571246,0.08847327189397369,0.03329597586169265,-0.011296160845676669,0.016607134300831796,-0.008345170561341726
2001,-0.21712258983168953,-0.07983044566134755,-0.08196671144273837,0.09741689201513154,0.010879984630133382,0.025992689032823518,-0.009755691840485902,-0.001503466078009233,0.012604156123643547,-0.013714939239092356
2002,-0.2523782048025454,-0.0008386811695366148,0.39675483397275224,-0.048176105980758,0.27445132565612784,0.024838953347913854,-0.003774907398490454,-0.021818070914318435,0.0022778091528793684,0.006039464562513483
2003,-1.140993552603837,0.06390195755064715,-0.08889075309189867,-0.02016180628898459,-0.05803806718087639,0.0066139237487531175,0.006484490956546652,-0.001357254497988143,-0.012339889154796703,-0.008584450240731838
2004,-0.49598934803890105,0.17774176816067172,-0.043195723992629165,-0.16877248896496108,-0.12010426057885959,-0.08808893986408863,0.014449825229595687,-0.009921975354049317,-0.0018117444056995973,-0.012849724832395675
2005,0.29132109222400104,0.16068958795508625,-0.1632801717446793,-0.06271039104363144,-0.08813662881390895,0.14039981369731877,-0.01334513536703152,0.0062406463852233245,0.001910227734879471,0.001570198334242506
2006,-0.5241737885652993,-0.08325354901698825,0.04412301893426625,-0.18043817542409005,0.02440976250598578,0.02510357055264969,-0.014592166353591498,0.004566631787710982,-0.0021937735393254294,-0.0006141756129452302
2007,-0.33289187459010045,-0.051868487293866894,0.01045235071987366,-0.09462123939241145,0.0064878109949650774,-0.11675924563838526,0.017413166783085552,0.00027112939172448407,-0.010948886166220913,-0.009534549315768989
2008,-0.8963744171453625,-0.22595209741674196,0.25019392453294487,-0.03825874770830753,-0.031352591024346475,0.01899033571479858,-0.004415842732793302,-0.002576067111384757,-0.0068639678080594825,0.012376936605878162
2009,-0.8517662642709977,0.24799769946054642,0.1779860204652744,-0.08082143502371367,0.15256413255385082,0.07600984221671603,-0.021166809418893297,-0.004926474127394655,-0.0002836874536450479,-0.010014931119806725
2010,-0.9482950260971386,-0.13700303508038583,0.15905320375240328,0.06924078310543377,0.023400445565002932,0.10366004897980668,-0.006033997864723557,0.0025218332496401447,-0.012133404007769084,-0.00186821387170312
2011,-0.06273241355205195,-0.5655735742425588,-0.2967042663548582,0.13824812997470964,0.14477753960219328,0.0049941834143283,-0.001347114521072355,-0.016944655308716774,-0.007904958544084717,0.009553986542882184
2012,0.024074804812948124,0.18853714941316135,0.019093666271848976,-0.0347431496357695,0.03202699494079058,-0.04545655258979045,-0.0014905413976649847,0.005149395709663226,0.0057460007051781375,0.015710659262328973
2013,-0.13960598380259542,-0.1627445639046031,0.13714107732577074,-0.12211740265865545,-0.006302011740268874,0.09035548221980619,0.011846235867505168,0.016489999529455675,0.00033757637513096234,0.011204712548385816
2014,-0.03792737189395326,-0.378272688039885,-0.14145761196270495,-0.27163600804930277,0.15611129903198603,0.03574270800923046,-0.013136004968621925,-0.006504801760815417,-0.010072345352610472,-0.003557155650952502
2015,-0.4638476152388544,0.6124786602454964,0.18095454861623514,0.06793915103035547,0.09899579838957975,0.0199029858085499,-0.015672814798701314,0.001986063361071949,0.0010772178696449469,-0.006947176215328631
