Year,nino12_01,nino12_02,nino12_03,nino12_04,nino12_05,nino12_06,nino12_07,nino12_08,nino12_09,nino12_10,nino12_11,nino12_12,nino3_01,nino3_02,nino3_03,nino3_04,nino3_05,nino3_06,nino3_07,nino3_08,nino3_09,nino3_10,nino3_11,nino3_12,rainfall_01,rainfall_02,rainfall_03,rainfall_04,rainfall_05,rainfall_06,rainfall_07,rainfall_08,rainfall_09,rainfall_10,rainfall_11,rainfall_12,nino4_01,nino4_02,nino4_03,nino4_04,nino4_05,nino4_06,nino4_07,nino4_08,nino4_09,nino4_10,nino4_11,nino4_12,nino34_01,nino34_02,nino34_03,nino34_04,nino34_05,nino34_06,nino34_07,nino34_08,nino34_09,nino34_10,nino34_11,nino34_12,tsa_01,tsa_02,tsa_03,tsa_04,tsa_05,tsa_06,tsa_07,tsa_08,tsa_09,tsa_10,tsa_11,tsa_12
1950,-1.1100000000000065,-1.5460606060606104,-1.0136363636363654,-1.54303030303031,-1.3465151515151597,-1.3589393939394014,-1.2713636363636347,-0.6183333333333287,-0.9554545454545362,-0.746363636363629,-1.3859090909090952,-0.9353030303030323,-1.7318181818181877,-1.2621212121212082,-0.5598484848484837,-0.7592424242424336,-1.188030303030306,-0.8221212121212034,-0.6651515151515142,-0.5407575757575778,-0.717878787878778,-0.5130303030302983,-0.8192424242424217,-0.8230303030303077,44.23012048192777,-39.58192771084347,123.84457831325307,-25.130120481927747,-4.346987951807137,54.3433734939759,-23.735060240963854,-44.33012048192772,-54.90963855421688,24.333734939758997,-47.97951807228911,120.14337349397582,-0.9907575757575806,-1.2375757575757653,-1.2707575757575817,-1.0372727272727218,-0.803636363636361,-0.489848484848487,-0.8175757575757601,-1.000303030303023,-1.1122727272727246,-1.1368181818181746,-1.1236363636363613,-1.073030303030297,-1.6124242424242539,-1.4445454545454517,-1.1081818181818228,-1.273181818181822,-1.538939393939387,-1.0024242424242402,-0.7825757575757493,-0.8898484848484856,-0.9649999999999963,-0.8142424242424227,-0.9525757575757545,-1.174090909090907,0.016323529411764695,0.08779411764705883,0.035294117647058795,-0.23558823529411768,-0.4123529411764706,-0.2882352941176471,-0.20808823529411766,-0.37573529411764706,-0.5360294117647059,-0.5748529411764707,-0.47705882352941176,-0.9560294117647059
1951,-0.22000000000000597,-0.8360606060606095,-0.7436363636363623,-0.2330303030303078,0.2934848484848409,1.6110606060605974,1.9386363636363662,1.3416666666666721,0.8245454545454614,0.88363636363637,0.7340909090909022,0.15469696969696756,-0.6118181818181867,-0.5121212121212082,-0.0498484848484857,0.030757575757565547,0.09196969696969148,0.16787878787879862,0.884848484848483,0.7992424242424221,0.8421212121212207,0.806969696969702,0.9607575757575759,0.6569696969696928,-4.669879518072207,-118.98192771084348,-0.2554216867469563,104.86987951807225,74.05301204819284,142.9433734939759,-5.93506024096385,-28.730120481927727,68.99036144578311,14.233734939758989,-32.77951807228911,-13.45662650602415,-0.7807575757575798,-0.8975757575757619,-0.33075757575758047,-0.027272727272723785,0.33636363636363953,0.2801515151515126,0.10242424242424164,-0.30030303030302363,-0.11227272727272464,-0.06681818181817434,0.1363636363636367,0.09696969696970115,-1.1224242424242554,-0.9245454545454521,-0.16818181818182154,-0.023181818181821967,0.2010606060606115,-0.08242424242423851,0.39742424242425045,0.28015151515151615,0.5850000000000044,0.4457575757575789,0.46742424242424363,0.2959090909090918,-1.0436764705882353,-0.7622058823529412,-0.9547058823529412,-0.5755882352941177,-0.44235294117647056,-0.31823529411764706,-0.15808823529411764,0.014264705882352943,0.02397058823529412,-0.004852941176470588,-0.09705882352941177,-0.036029411764705886
1952,-0.010000000000008669,0.07393939393939064,0.006363636363637681,-0.5130303030303089,-0.26651515151516136,-0.40893939393940215,-0.49136363636363356,-0.6083333333333272,-0.8754545454545379,-0.1863636363636303,-0.4859090909090966,-0.055303030303033296,0.3881818181818133,0.1678787878787915,0.2001515151515143,0.1907575757575657,0.09196969696969148,-0.34212121212120294,-0.4451515151515153,-0.43075757575757834,-0.42787878787877887,-0.34303030303030013,-0.6792424242424211,-0.3630303030303068,63.83012048192779,143.41807228915656,18.14457831325302,140.86987951807225,54.55301204819284,-12.656626506024097,-18.53506024096385,33.06987951807228,-45.10963855421688,-36.56626506024101,2.920481927710881,156.54337349397585,0.19924242424242067,0.05242424242423738,-0.03075757575758331,0.1227272727272748,0.006363636363641234,-0.20984848484848584,-0.4075757575757599,-0.5703030303030232,-0.22227272727272762,-0.39681818181817263,-0.15363636363636246,-0.08303030303029857,0.23757575757574756,0.15545454545454618,0.17181818181817832,0.3668181818181786,0.3710606060606132,-0.11242424242423965,-0.2525757575757481,-0.3098484848484837,-0.1649999999999956,-0.11424242424242337,-0.2625757575757568,-0.03409090909090651,-0.003676470588235309,-0.07220588235294116,-0.1647058823529412,-0.14558823529411768,-0.26235294117647057,0.011764705882352948,-0.11808823529411766,-0.04573529411764706,-0.06602941176470589,-0.11485294117647059,-0.01705882352941176,-0.1760294117647059
1953,-0.1200000000000081,0.3639393939393898,0.8663636363636371,1.5369696969696918,1.1134848484848412,0.5410606060605971,0.24863636363636843,0.4816666666666727,0.4245454545454628,0.15363636363636957,0.10409090909090324,-0.3353030303030309,0.2181818181818116,0.44787878787879265,0.43015151515151473,0.4307575757575641,0.40196969696969376,0.4478787878787962,0.28484848484848513,0.19924242424242422,0.4821212121212213,0.3169696969697,0.17075757575757677,0.2669696969696922,-60.16987951807221,144.91807228915656,-33.05542168674697,-108.53012048192778,-62.24698795180714,-84.4566265060241,87.16493975903616,-50.23012048192773,-45.30963855421688,21.233734939759003,0.3204819277108868,-43.95662650602415,0.04924242424241854,-0.047575757575764044,-0.08075757575758047,0.05272727272727806,0.1563636363636398,0.37015151515151246,0.31242424242423894,0.3496969696969785,0.08772727272727465,0.15318181818182453,0.1863636363636374,0.3769696969697023,0.4275757575757453,0.5454545454545467,0.45181818181817945,0.5668181818181779,0.5510606060606129,0.5875757575757596,0.4274242424242516,0.34015151515151487,0.42500000000000426,0.4757575757575765,0.3374242424242446,0.4759090909090915,-0.2136764705882353,-0.31220588235294117,-0.0747058823529412,-0.35558823529411765,-0.21235294117647058,-0.15823529411764706,-0.11808823529411766,-0.09573529411764706,0.013970588235294117,-0.004852941176470588,-0.19705882352941176,-0.44602941176470584
1954,-1.6900000000000084,-0.7960606060606104,-1.0736363636363642,-2.5030303030303074,-2.2765151515151594,-1.9089393939394022,-2.2413636363636336,-1.538333333333327,-1.4354545454545367,-1.5463636363636297,-1.215909090909097,-1.3453030303030324,0.05818181818181145,0.027878787878794498,-0.26984848484848456,-1.3192424242424359,-1.1980303030303077,-1.102121212121201,-1.0151515151515156,-1.200757575757578,-1.327878787878781,-1.193030303030298,-0.9892424242424234,-1.183030303030307,32.23012048192777,-6.181927710843468,3.2445783132530437,-74.23012048192777,-167.74698795180714,-6.756626506024091,-28.53506024096385,-23.730120481927727,-15.509638554216878,-16.26626506024101,79.6204819277109,-38.45662650602415,0.3192424242424181,0.2324242424242371,-0.14075757575758274,-0.2672727272727222,-0.3236363636363606,-0.38984848484848555,-0.6375757575757603,-0.8403030303030228,-0.9722727272727276,-1.086818181818174,-0.7036363636363632,-0.7130303030302976,0.46757575757574443,0.4054545454545462,-0.14818181818182197,-0.7631818181818204,-0.668939393939386,-0.5524242424242409,-0.7425757575757466,-1.0498484848484857,-1.1749999999999972,-0.9842424242424208,-0.7225757575757541,-0.9040909090909075,-0.49367647058823527,-0.5622058823529412,-0.6047058823529412,-0.4655882352941177,-0.6823529411764706,-0.628235294117647,-0.7080882352941177,-0.4257352941176471,-0.27602941176470586,-0.1748529411764706,-0.13705882352941176,-0.2660294117647059
1955,-0.6200000000000081,-1.0060606060606077,-1.1436363636363645,-1.1130303030303104,-1.7765151515151594,-1.6589393939394022,-1.0813636363636334,-1.0983333333333292,-1.0254545454545365,-1.4163636363636307,-1.5259090909090958,-1.3453030303030324,-0.6118181818181867,-0.5421212121212058,-0.6998484848484843,-0.9492424242424349,-1.3180303030303087,-1.132121212121202,-0.9151515151515142,-1.070757575757579,-1.337878787878779,-2.0930303030303,-2.049242424242422,-1.8530303030303088,-6.669879518072207,84.01807228915652,10.544578313253055,-42.43012048192776,42.953012048192875,-36.5566265060241,2.1649397590361446,-51.030120481927725,3.390361445783114,6.533734939758986,17.120481927710898,64.54337349397585,-0.4907575757575806,-0.6475757575757619,-0.5707575757575825,-0.6672727272727244,-0.5336363636363615,-0.4698484848484874,-0.5075757575757613,-0.8003030303030236,-0.6622727272727253,-1.236818181818176,-1.6136363636363633,-1.193030303030298,-0.642424242424255,-0.7845454545454515,-0.7881818181818225,-0.9531818181818217,-0.8189393939393881,-0.7724242424242398,-0.7425757575757466,-0.9098484848484851,-1.0549999999999962,-1.9842424242424208,-2.142575757575756,-1.794090909090908,-0.48367647058823526,-0.6622058823529411,-0.5347058823529413,-0.5855882352941177,-0.4123529411764706,-0.49823529411764705,-0.31808823529411767,-0.49573529411764705,-0.4360294117647059,-0.3148529411764706,-0.21705882352941178,-0.6060294117647058
1956,-0.8700000000000081,-0.6760606060606094,-0.34363636363636374,-0.9430303030303087,-1.0165151515151614,-0.8489393939394034,-0.26136363636363313,-0.12833333333332675,-0.6354545454545395,-1.0963636363636304,-0.8859090909090952,-1.2853030303030337,-0.7518181818181873,-0.3921212121212072,-0.28984848484848413,-0.5192424242424352,-0.26803030303030795,-0.35212121212120095,-0.5751515151515143,-0.7007575757575779,-0.7378787878787811,-0.8530303030302981,-1.009242424242423,-1.0030303030303074,-30.869879518072196,-58.48192771084348,-61.955421686746945,-36.03012048192778,-78.04698795180715,13.1433734939759,-7.8350602409638554,-2.130120481927726,35.690361445783125,55.733734939759,18.120481927710898,-11.156626506024168,-1.1307575757575812,-1.007575757575765,-0.8107575757575809,-0.7272727272727231,-0.7436363636363588,-0.619848484848486,-0.6975757575757591,-1.000303030303023,-1.0122727272727268,-0.7568181818181756,-0.5236363636363635,-0.33303030303029857,-0.8324242424242527,-0.5845454545454523,-0.5681818181818201,-0.8331818181818207,-0.4389393939393855,-0.5124242424242418,-0.6725757575757463,-0.8598484848484844,-0.7049999999999983,-0.7942424242424231,-0.8625757575757547,-0.6940909090909066,-0.5636764705882353,-0.7522058823529412,-0.6547058823529411,-0.7955882352941177,-0.5223529411764706,-0.48823529411764705,-0.30808823529411766,-0.22573529411764706,-0.2160294117647059,-0.4748529411764706,-0.44705882352941173,-0.5260294117647059
1957,-1.620000000000008,0.02393939393938993,0.9263636363636358,1.196969696969692,2.1034848484848396,1.8310606060605963,1.778636363636366,1.2416666666666707,1.124545454545462,0.9036363636363696,0.8640909090909048,0.6846969696969687,-0.6418181818181878,-0.2121212121212075,0.3001515151515157,0.4407575757575657,0.721969696969694,0.8878787878787975,1.3248484848484843,1.1192424242424224,0.782121212121222,0.7469696969697033,1.1507575757575772,1.3669696969696936,130.43012048192782,-79.28192771084346,-44.455421686746945,14.169879518072207,-156.14698795180715,-23.956626506024094,-62.235060240963854,-18.030120481927725,-55.50963855421688,27.733734939759003,-76.47951807228911,-62.75662650602416,-0.16075757575757876,-0.07757575757576518,-0.060757575757580895,0.19272727272727508,0.2963636363636404,-0.05984848484848726,-0.15757575757575992,0.19969696969697637,0.3177272727272751,0.4831818181818264,0.4863636363636381,0.556969696969702,-0.43242424242425415,-0.17454545454545212,0.2418181818181786,0.4868181818181796,0.6310606060606148,0.6875757575757611,0.9574242424242527,0.9201515151515167,0.735000000000003,0.7157575757575785,1.077424242424243,1.2659090909090942,-0.43367647058823533,-0.17220588235294115,-0.1547058823529412,-0.09558823529411767,-0.3323529411764706,-0.16823529411764707,-0.35808823529411765,-0.24573529411764705,-0.37602941176470583,-0.4148529411764706,-0.27705882352941175,-0.1960294117647059
1958,0.20999999999999375,0.5939393939393902,0.7763636363636373,0.9869696969696911,0.5934848484848416,0.5810606060605963,0.38863636363636545,-0.2583333333333293,0.12454545454546206,0.20363636363637028,-0.04590909090909534,-0.20530303030303187,1.3381818181818126,1.0378787878787925,0.5901515151515149,0.38075757575756697,0.2919696969696943,0.2578787878787985,0.07484848484848428,0.029242424242422516,-0.17787878787877887,-0.12303030303029772,0.13075757575757763,-0.20303030303030667,88.43012048192782,-95.08192771084347,-76.35542168674695,36.66987951807221,-147.94698795180716,-35.75662650602409,-26.235060240963854,8.069879518072277,-39.30963855421688,-22.366265060241005,-22.279518072289108,60.44337349397583,0.9592424242424187,1.1224242424242377,0.9192424242424195,0.5827272727272756,0.4063636363636398,0.36015151515151445,0.2024242424242395,0.2296969696969775,0.1777272727272745,0.2931818181818251,0.2563636363636377,0.436969696969701,1.7075757575757464,1.5454545454545467,1.0218181818181797,0.6168181818181786,0.5410606060606113,0.5675757575757601,0.18742424242425315,0.06015151515151729,-0.05499999999999616,0.11575757575757706,0.38742424242424534,0.24590909090909463,-0.32367647058823534,-0.3222058823529412,-0.6547058823529411,-0.6955882352941176,-1.1423529411764706,-1.1182352941176472,-0.5580882352941177,-0.6757352941176471,-0.6560294117647059,-0.5248529411764706,-0.40705882352941175,-0.05602941176470588
1959,-0.580000000000009,-0.11606060606060709,0.4963636363636361,0.2269696969696895,-0.04651515151515895,-0.33893939393940187,-0.31136363636363384,-0.7783333333333289,-0.35545454545453836,-0.04636363636362972,0.28409090909090295,-0.11530303030303202,0.018181818181812304,0.017878787878792934,-0.13984848484848555,0.060757575757566684,-0.19803030303030766,-0.3321212121212014,-0.6851515151515173,-0.6407575757575756,-0.577878787878781,-0.33303030303029857,-0.43924242424242266,-0.39303030303030795,-65.3698795180722,-51.78192771084346,-53.35542168674698,-122.53012048192778,-110.64698795180715,2.4433734939758978,-35.93506024096385,4.269879518072273,-32.70963855421688,-100.866265060241,42.42048192771088,-126.15662650602417,0.44924242424242067,0.33242424242423496,0.16924242424241953,0.26272727272727536,0.03636363636363882,-0.2898484848484877,-0.2275757575757602,-0.1403030303030235,-0.16227272727272535,-0.16681818181817576,-0.3636363636363633,-0.323030303030297,0.5275757575757467,0.5154545454545456,0.2418181818181786,0.19681818181818045,-0.04893939393938851,-0.24242424242423866,-0.6225757575757491,-0.5198484848484846,-0.5949999999999953,-0.36424242424242337,-0.4425757575757565,-0.3040909090909061,-0.023676470588235306,-0.012205882352941164,0.19529411764705884,0.13441176470588234,-0.24235294117647058,-0.19823529411764707,-0.28808823529411764,-0.23573529411764707,-0.1260294117647059,-0.1648529411764706,-0.23705882352941177,-0.2660294117647059
1960,-0.010000000000008669,-0.45606060606060694,-0.47363636363636274,-0.8530303030303088,-0.7365151515151602,-1.0389393939394012,-1.1213636363636326,-0.6683333333333294,-0.04545454545453964,-0.376363636363628,-0.5159090909090978,-0.26530303030303415,-0.1618181818181874,-0.30212121212120735,-0.1798484848484847,-0.10924242424243502,-0.26803030303030795,-0.5321212121212007,-0.3151515151515163,-0.08075757575757692,-0.16787878787878086,-0.6430303030302973,-0.639242424242422,-0.5730303030303077,-152.6698795180722,-115.28192771084346,-82.35542168674695,100.26987951807223,-103.04698795180715,70.04337349397589,-0.7350602409638469,6.069879518072277,10.79036144578312,114.93373493975899,69.1204819277109,81.04337349397585,-0.5107575757575802,-0.5675757575757636,-0.44075757575758345,-0.3772727272727252,-0.24363636363635877,-0.369848484848486,-0.43757575757576106,-0.3903030303030235,-0.33227272727272705,-0.19681818181817334,-0.04363636363636303,-0.013030303030298285,-0.20242424242425372,-0.3045454545454547,-0.23818181818182182,-0.03318181818181998,-0.1289393939393868,-0.3824242424242392,-0.3225757575757484,-0.009848484848482997,-0.2149999999999963,-0.36424242424242337,-0.2225757575757541,-0.3340909090909072,-0.3936764705882353,-0.47220588235294114,-0.1747058823529412,-0.2855882352941177,-0.06235294117647056,-0.2882352941176471,0.031911764705882355,-0.05573529411764706,-0.07602941176470589,-0.1348529411764706,-0.0070588235294117615,-0.036029411764705886
1961,0.1799999999999926,0.5839393939393922,-0.3736363636363649,-0.38303030303030994,-0.5765151515151601,-0.7589393939394036,-1.1213636363636326,-0.8883333333333283,-0.8954545454545375,-0.626363636363628,-0.20590909090909548,-0.3353030303030309,-0.421818181818189,-0.08212121212120849,-0.23984848484848342,0.05075757575756512,0.0219696969696912,-0.03212121212120067,-0.625151515151515,-0.7907575757575778,-1.1478787878787813,-1.0430303030302994,-0.5992424242424228,-0.4830303030303078,6.23012048192777,56.618072289156544,-73.65542168674696,42.76987951807223,95.85301204819285,-7.956626506024094,-35.63506024096385,-46.23012048192773,-21.509638554216878,11.933734939758992,-24.879518072289102,133.34337349397586,-0.13075757575758118,-0.12757575757576234,-0.27075757575758175,-0.42727272727272236,-0.36363636363635976,-0.0498484848484857,-0.31757575757576006,-0.4003030303030215,-0.3722727272727262,-0.6068181818181735,-0.39363636363636445,-0.323030303030297,-0.17242424242425258,-0.1945454545454517,-0.28818181818182254,-0.29318181818182154,-0.06893939393938808,0.12757575757575879,-0.10257575757574955,-0.499848484848485,-0.7349999999999959,-0.8042424242424211,-0.5125757575757568,-0.4540909090909082,-0.0636764705882353,-0.18220588235294116,-0.1047058823529412,-0.16558823529411767,-0.042352941176470565,-0.15823529411764706,-0.2580882352941176,-0.22573529411764706,0.003970588235294115,-0.05485294117647059,-0.07705882352941176,-0.1560294117647059
1962,-0.19000000000000838,-0.5860606060606095,-1.6036363636363653,-1.7230303030303098,-1.0565151515151605,-0.988939393939404,-0.9413636363636328,-0.6683333333333294,-0.5054545454545369,-0.7063636363636299,-0.6359090909090952,-0.8453030303030324,-0.32181818181818755,-0.2921212121212058,-0.5198484848484846,-0.7292424242424325,-0.7280303030303088,-0.6121212121212025,-0.505151515151514,-0.3307575757575769,-0.6878787878787804,-0.6530303030302989,-0.8992424242424235,-0.9730303030303062,126.43012048192782,123.71807228915651,-3.355421686746979,-11.23012048192777,28.853012048192852,2.3433734939759034,-21.335060240963855,-19.130120481927726,-60.40963855421688,14.333734939758997,-63.17951807228911,-87.75662650602416,-0.4207575757575803,-0.37757575757576234,-0.21075757575758303,-0.24727272727272265,-0.4436363636363616,-0.30984848484848726,-0.39757575757575836,-0.44030303030302065,-0.4422727272727265,-0.4668181818181729,-0.4436363636363616,-0.5230303030302998,-0.3724242424242554,-0.4245454545454521,-0.3781818181818224,-0.4331818181818221,-0.5889393939393877,-0.4024242424242388,-0.31257575757574685,-0.38984848484848555,-0.6849999999999952,-0.5642424242424227,-0.7925757575757544,-0.7840909090909065,-0.1436764705882353,-0.22220588235294117,-0.1947058823529412,-0.07558823529411766,0.10764705882352943,0.021764705882352943,-0.13808823529411765,-0.06573529411764706,-0.10602941176470589,-0.004852941176470588,-0.0070588235294117615,-0.2260294117647059
1963,-0.4300000000000068,-0.3960606060606082,-0.4236363636363656,-1.0830303030303092,-0.36651515151515923,-0.498939393939402,-0.12136363636363257,0.27166666666667183,0.25454545454546107,0.10363636363636886,-0.2559090909090962,-0.34530303030303244,-0.6418181818181878,-0.5121212121212082,-0.16984848484848314,0.1207575757575654,-0.03803030303030752,0.20787878787879777,0.6048484848484854,0.639242424242422,0.532121212121222,0.5769696969697016,0.6407575757575792,0.7769696969696938,-14.569879518072185,-93.48192771084348,-71.75542168674696,3.0698795180722414,11.653012048192863,16.24337349397591,-21.93506024096385,-47.73012048192773,-27.909638554216883,-26.76626506024101,68.82048192771089,-35.45662650602415,-0.48075757575757905,-0.37757575757576234,-0.14075757575758274,-0.11727272727272364,-0.2236363636363592,-0.31984848484848527,-0.027575757575760917,0.2896969696969762,0.5177272727272744,0.5731818181818262,0.3663636363636371,0.23696969696970172,-0.5824242424242527,-0.39454545454545453,-0.038181818181822536,0.10681818181818059,-0.1989393939393871,0.027575757575760917,0.5974242424242533,0.6901515151515163,0.7450000000000045,0.7857575757575788,0.7674242424242443,0.9559090909090919,-0.11367647058823531,-0.052205882352941164,0.18529411764705883,0.14441176470588232,0.3476470588235294,0.39176470588235296,0.38191176470588234,0.414264705882353,0.38397058823529406,0.4151470588235294,0.6729411764705882,0.7339705882352942
1964,-0.47000000000000597,-0.9460606060606089,-1.1436363636363645,-0.9530303030303102,-2.0565151515151605,-1.5289393939394031,-1.6513636363636337,-1.3283333333333296,-0.9154545454545371,-1.2063636363636299,-0.6659090909090963,-1.0353030303030337,0.438181818181814,0.017878787878792934,-0.3598484848484844,-1.0092424242424336,-1.3680303030303058,-1.262121212121201,-0.9251515151515157,-1.360757575757578,-0.95787878787878,-0.9830303030302971,-0.9792424242424218,-1.3230303030303077,-120.66987951807221,-135.38192771084346,114.74457831325304,-14.930120481927759,36.453012048192875,19.74337349397591,-7.035060240963851,39.46987951807227,-32.50963855421688,24.13373493975898,60.22048192771089,92.44337349397583,0.39924242424241996,0.2324242424242371,-0.1807575757575819,-0.17727272727272236,-0.2736363636363599,-0.5498484848484857,-0.6975757575757591,-0.8803030303030219,-1.2622727272727268,-1.1768181818181738,-1.3136363636363626,-1.1530303030302989,0.8075757575757443,0.5054545454545476,-0.1381818181818204,-0.6031818181818203,-0.7789393939393854,-0.9224242424242384,-0.9025757575757467,-1.0598484848484837,-1.1849999999999952,-1.134242424242423,-1.2325757575757557,-1.184090909090905,0.5863235294117647,0.24779411764705883,0.24529411764705883,-0.005588235294117672,-0.2923529411764706,-0.19823529411764707,-0.24808823529411766,-0.24573529411764705,-0.7060294117647059,-0.8248529411764707,-0.6470588235294118,-0.7960294117647059
